hostname,Condor_Version,Condor_Build_ID,cpu_frequency,cpu_model,CpuCacheSize,DetectedCpus,DetectedMemory,Disk,eth_link_speed,glibc_version,has_afs,has_avx,has_scratch365,has_singularity,has_sse4_1,has_sse4_2,has_ssse3,has_vast,HasFileTransfer,HasJICLocalConfig,HasJobDeferral,HasMPI,HasTDP,HasTransferInputRemaps,HasVM,JavaMFlops,JobPreemptions,JobRankPreemptions,KFlops,Mips,OpSysLongName,has_avx2
d12chas289.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,256707,1343420936,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1874.853882,0,0,1708122,26368,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d12chas067.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,63427,947766284,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1882.244263,0,0,1717067,26692,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d32cepyc159.crc.nd.edu,8.8.14,550418,unknown,,512,64,256876,875090172,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,3082.665771,0,0,5424208,30466,Red Hat Enterprise Linux release 8.9 (Ootpa),true
qa-a40-005.crc.nd.edu,8.8.14,550418,2.90GHz,Intel(R) Xeon(R) Gold 6326 CPU,24576,32,256860,1805493716,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,2350.647949,0,0,1900553,30696,Red Hat Enterprise Linux release 8.9 (Ootpa),true
camd04.crc.nd.edu,8.8.14,550418,2.20GHz,Intel(R) Xeon(R) CPU E5-2660 0,20480,16,63853,427378276,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1482.412109,1,0,1601111,21880,Red Hat Enterprise Linux release 8.9 (Ootpa),
d8civy048.crc.nd.edu,8.8.14,550418,2.60GHz,Intel(R) Xeon(R) CPU E5-2650 v2,20480,16,31845,203116926,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1742.252441,3,0,1684456,25261,Red Hat Enterprise Linux release 8.9 (Ootpa),
d8civy006.crc.nd.edu,8.8.14,550418,2.60GHz,Intel(R) Xeon(R) CPU E5-2650 v2,20480,16,31845,435528316,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1730.335449,0,0,1685396,25292,Red Hat Enterprise Linux release 8.9 (Ootpa),
d64cepyc011.crc.nd.edu,8.8.14,550418,unknown,,512,128,515020,179609324,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,2538.486328,0,0,4551490,24873,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d32cepyc073.crc.nd.edu,8.8.14,550418,unknown,,512,64,256875,894746752,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,3088.272949,0,0,5385636,30284,Red Hat Enterprise Linux release 8.9 (Ootpa),true
qa-xp-007.crc.nd.edu,8.8.14,550418,2.20GHz,Intel(R) Xeon(R) CPU E5-2650 v4,30720,24,128260,912185164,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1789.735352,0,0,1689161,23673,Red Hat Enterprise Linux release 8.9 (Ootpa),true
